cluster,proportion
0784 Sst Gaba_5,0.0006584264968985842
0792 Sst Gaba_7,0.003219478526214456
0793 Sst Gaba_7,0.0008718474993415735
0794 Sst Gaba_7,0.00037689240856953436
0795 Sst Gaba_8,0.0019798203630881565
0796 Sst Gaba_8,4.5408723924040284e-05
0797 Sst Gaba_8,0.0020978830452906615
0798 Sst Gaba_9,0.0004904142183796351
0799 Sst Gaba_9,0.0004132193877087666
0800 Sst Gaba_9,0.0007719483067086849
0801 Sst Gaba_9,0.0006811308588606043
0802 Sst Gaba_10,0.0009399605852276339
0803 Sst Gaba_10,0.004672557691783746
0804 Sst Gaba_10,0.0003314836846454941
0805 Sst Gaba_11,0.00016347140612654504
0806 Sst Gaba_11,0.001434915675999673
0807 Sst Gaba_12,2.2704361962020142e-05
0809 Sst Gaba_12,5.4490468708848347e-05
0810 Sst Gaba_13,0.0013259347385819764
0811 Sst Gaba_13,0.0005040368355568472
0812 Sst Gaba_14,4.9949596316444315e-05
0813 Sst Gaba_14,0.00016347140612654504
0814 Sst Gaba_14,0.0004268420048859787
0815 Sst Gaba_15,2.7245234354424173e-05
0816 Sst Gaba_15,3.17861067468282e-05
0817 Sst Gaba_15,3.17861067468282e-05
0818 Sst Gaba_16,0.0004313828772783827
0819 Sst Gaba_16,0.0006992943484302204
0820 Sst Gaba_16,0.0013940478244680368
0821 Sst Gaba_16,3.632697913923223e-05
0822 Sst Gaba_17,1.3622617177212087e-05
0825 Sst Gaba_18,3.632697913923223e-05
0849 Sst Chodl Gaba_2,1.3622617177212087e-05
0850 Sst Chodl Gaba_2,2.7245234354424173e-05
0858 Sst Chodl Gaba_4,8.173570306327252e-05
0859 Sst Chodl Gaba_4,0.0017891037226071872
0950 STR D1 Gaba_3,2.2704361962020142e-05
0981 STR D2 Gaba_4,1.3622617177212087e-05
0982 STR D2 Gaba_4,1.3622617177212087e-05
1003 STR-PAL Chst9 Gaba_1,4.086785153163626e-05
2003 MEA-COA-BMA Ccdc42 Glut_1,3.632697913923223e-05
2004 MEA-COA-BMA Ccdc42 Glut_2,5.4490468708848347e-05
2006 MEA-COA-BMA Ccdc42 Glut_3,3.17861067468282e-05
