cluster,proportion
3349 CUN-PPN Evx2 Meis2 Glut_5,0.0013472765766343747
3352 PBG Mtnr1a Glut-Chol_1,0.00019246808237633926
3359 SCop Pou4f2 Neurod2 Glut_1,0.0008981843844229166
3382 PAG Ucn Glut_1,0.0003849361647526785
3383 ND-INC Foxd2 Glut_1,0.008404439597100147
3384 ND-INC Foxd2 Glut_1,0.0007057163020465773
3385 ND-INC Foxd2 Glut_1,0.0016680567139282735
3386 PAG-MRN Rln3 Gaba_1,0.0006415602745877975
3387 PAG-MRN Rln3 Gaba_1,0.001283120549175595
3388 PAG-MRN Rln3 Gaba_1,0.0016039006864694938
3390 PPN-CUN-PCG Otp En1 Gaba_1,0.00019246808237633926
3391 PPN-CUN-PCG Otp En1 Gaba_1,0.00032078013729389875
3392 PPN-CUN-PCG Otp En1 Gaba_1,0.0006415602745877975
3403 PPN-CUN-PCG Otp En1 Gaba_3,0.00025662410983511903
3404 PPN-CUN-PCG Otp En1 Gaba_3,0.0006415602745877975
3408 MRN-PPN-CUN Pax8 Gaba_1,0.0012189645217168153
3409 MRN-PPN-CUN Pax8 Gaba_1,0.0014114326040931546
3410 MRN-PPN-CUN Pax8 Gaba_1,0.0010906524667992558
3411 MRN-PPN-CUN Pax8 Gaba_1,0.0010264964393404761
3412 MRN-PPN-CUN Pax8 Gaba_1,0.0034644254827741064
3419 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.006030666581125297
3420 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.0021813049335985117
3421 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.0010264964393404761
3422 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.006479758773336755
3423 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.002887021235645089
3424 MRN-VTN-PPN Pax5 Cdh23 Gaba_1,0.004747546031949702
3425 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.0010264964393404761
3427 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.0022454609610572914
3428 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.0010264964393404761
3429 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.000769872329505357
3430 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.0022454609610572914
3431 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.001539744659010714
3432 MRN-VTN-PPN Pax5 Cdh23 Gaba_2,0.001539744659010714
3433 SNr-VTA Pax5 Npas1 Gaba_1,0.0008981843844229166
3434 SNr-VTA Pax5 Npas1 Gaba_1,0.0005774042471290178
3435 SNr-VTA Pax5 Npas1 Gaba_1,0.0009623404118816963
3437 SNr-VTA Pax5 Npas1 Gaba_1,0.00025662410983511903
3438 SNr-VTA Pax5 Npas1 Gaba_1,0.00795534740488869
3439 SNr-VTA Pax5 Npas1 Gaba_1,0.00019246808237633926
3441 SNr-VTA Pax5 Npas1 Gaba_2,0.0014755886315519343
3442 PAG-PPN Pax5 Sox21 Gaba_1,0.0020529928786809522
3443 PAG-PPN Pax5 Sox21 Gaba_1,0.0003849361647526785
3444 PAG-PPN Pax5 Sox21 Gaba_1,0.0008340283569641367
3446 PAG-PPN Pax5 Sox21 Gaba_1,0.0004490921922114583
3447 PAG-PPN Pax5 Sox21 Gaba_2,0.0009623404118816963
3450 PAG-PPN Pax5 Sox21 Gaba_2,0.0005132482196702381
3451 PAG-PPN Pax5 Sox21 Gaba_2,0.00025662410983511903
3452 PAG-PPN Pax5 Sox21 Gaba_3,0.0005774042471290178
3453 PAG-PPN Pax5 Sox21 Gaba_3,0.0034002694553153267
3454 PAG-PPN Pax5 Sox21 Gaba_3,0.0010264964393404761
3455 PAG-PPN Pax5 Sox21 Gaba_3,0.001283120549175595
3456 PAG-PPN Pax5 Sox21 Gaba_3,0.0026945531532687494
3457 PAG-PPN Pax5 Sox21 Gaba_4,0.0025020850708924102
3458 PAG-PPN Pax5 Sox21 Gaba_4,0.0022454609610572914
3459 PAG-PPN Pax5 Sox21 Gaba_4,0.0014755886315519343
3460 PAG-PPN Pax5 Sox21 Gaba_4,0.005902354526207737
3462 SNr Six3 Gaba_1,0.00025662410983511903
3463 SNr Six3 Gaba_1,0.00025662410983511903
3464 SNr Six3 Gaba_1,0.029126836466286006
3465 IC Six3 En2 Gaba_1,0.0017963687688458331
3466 IC Six3 En2 Gaba_1,0.00032078013729389875
3467 IC Six3 En2 Gaba_1,0.0007057163020465773
3468 IC Six3 En2 Gaba_1,0.0010906524667992558
3469 IC Six3 En2 Gaba_1,0.005581574388913838
3470 IC Six3 En2 Gaba_1,0.008404439597100147
3471 IC Six3 En2 Gaba_1,0.004875858086867261
3472 IC Six3 En2 Gaba_1,0.0021813049335985117
3473 IC Six3 En2 Gaba_1,0.0029511772631038687
3474 IC Six3 En2 Gaba_1,0.0013472765766343747
3475 IC Six3 En2 Gaba_1,0.007313787130300892
3476 IC Six3 En2 Gaba_1,0.006672226855713094
3477 IC Six3 En2 Gaba_2,0.0004490921922114583
3478 IC Six3 En2 Gaba_2,0.0003849361647526785
3479 IC Six3 En2 Gaba_2,0.0011548084942580355
3480 IC Six3 En2 Gaba_3,0.004747546031949702
3481 IC Six3 En2 Gaba_3,0.001283120549175595
3482 IC Six3 En2 Gaba_3,0.014050170013472765
3483 IC Six3 En2 Gaba_3,0.0005774042471290178
3484 IC Six3 En2 Gaba_3,0.0017963687688458331
3485 IC Six3 En2 Gaba_3,0.0009623404118816963
3486 IC Six3 En2 Gaba_3,0.0035285815102328866
3487 IC Six3 En2 Gaba_3,0.004811702059408482
3489 IC Six3 En2 Gaba_4,0.0005774042471290178
3490 IC Six3 En2 Gaba_4,0.0007057163020465773
3491 IC Six3 En2 Gaba_4,0.0029511772631038687
3492 IC Six3 En2 Gaba_4,0.0018605247963046129
3493 IC Six3 En2 Gaba_4,0.0016039006864694938
3494 IC Six3 En2 Gaba_4,0.0011548084942580355
3495 IC Six3 En2 Gaba_5,0.0030153332905626484
3496 IC Six3 En2 Gaba_5,0.004362609867197023
3497 IC Six3 En2 Gaba_5,0.006415602745877975
3499 IC Six3 En2 Gaba_5,0.002309616988516071
3500 IC Six3 En2 Gaba_5,0.01777121960608199
3501 IC Six3 En2 Gaba_6,0.0005132482196702381
3502 IC Six3 En2 Gaba_6,0.0020529928786809522
3505 IC Six3 En2 Gaba_6,0.0010264964393404761
3506 IC Six3 En2 Gaba_7,0.0017322127413870532
3507 IC Six3 En2 Gaba_7,0.001283120549175595
3508 IC Six3 En2 Gaba_7,0.00032078013729389875
3509 PAG-MRN-RN Foxa2 Gaba_1,0.0019246808237633926
3510 PAG-MRN-RN Foxa2 Gaba_1,0.0022454609610572914
3511 PAG-MRN-RN Foxa2 Gaba_1,0.0004490921922114583
3512 PAG-MRN-RN Foxa2 Gaba_1,0.0019888368512221725
3513 PAG-MRN-RN Foxa2 Gaba_1,0.0034644254827741064
3514 PAG-MRN-RN Foxa2 Gaba_1,0.0008981843844229166
3515 PAG-MRN-RN Foxa2 Gaba_2,0.001539744659010714
3516 PAG-MRN-RN Foxa2 Gaba_2,0.003913517674985565
3517 PAG-MRN-RN Foxa2 Gaba_2,0.0013472765766343747
3518 PAG-MRN-RN Foxa2 Gaba_2,0.0014755886315519343
3519 PAG-MRN-RN Foxa2 Gaba_2,0.0016039006864694938
3520 PAG-MRN-RN Foxa2 Gaba_2,0.0010264964393404761
3521 PAG-MRN-RN Foxa2 Gaba_3,0.001539744659010714
3522 PAG-MRN-RN Foxa2 Gaba_3,0.0026945531532687494
3523 PAG-MRN-RN Foxa2 Gaba_3,0.0037210495926092257
3524 PAG-MRN-RN Foxa2 Gaba_3,0.0017963687688458331
3526 PAG-MRN-RN Foxa2 Gaba_4,0.0005132482196702381
3527 PAG-MRN-RN Foxa2 Gaba_4,0.0005132482196702381
3528 PAG-MRN-RN Foxa2 Gaba_4,0.000769872329505357
3529 PAG-MRN-RN Foxa2 Gaba_4,0.0005774042471290178
3530 PAG-MRN-RN Foxa2 Gaba_4,0.001283120549175595
3532 PAG-ND-PCG Onecut1 Gaba_1,0.00019246808237633926
3533 PAG-ND-PCG Onecut1 Gaba_1,0.00025662410983511903
3534 PAG-ND-PCG Onecut1 Gaba_1,0.0028228652081863093
3535 PAG-ND-PCG Onecut1 Gaba_1,0.0009623404118816963
3537 PAG-ND-PCG Onecut1 Gaba_1,0.0007057163020465773
3538 PAG-ND-PCG Onecut1 Gaba_1,0.0029511772631038687
3541 PAG-ND-PCG Onecut1 Gaba_1,0.0004490921922114583
3542 PAG-ND-PCG Onecut1 Gaba_1,0.00025662410983511903
3543 PAG-ND-PCG Onecut1 Gaba_2,0.0003849361647526785
3544 PAG-ND-PCG Onecut1 Gaba_2,0.00032078013729389875
3548 PAG-ND-PCG Onecut1 Gaba_2,0.00019246808237633926
3552 PAG-ND-PCG Onecut1 Gaba_3,0.0003849361647526785
3558 PAG-RN Nkx2-2 Otx1 Gaba_1,0.0030153332905626484
3559 PAG-RN Nkx2-2 Otx1 Gaba_1,0.00025662410983511903
3560 PAG-RN Nkx2-2 Otx1 Gaba_1,0.0034002694553153267
3561 PAG-RN Nkx2-2 Otx1 Gaba_1,0.0024379290434336305
3562 PAG-RN Nkx2-2 Otx1 Gaba_1,0.008725219734394047
3563 PAG-RN Nkx2-2 Otx1 Gaba_1,0.009302623981523064
3564 PAG-RN Nkx2-2 Otx1 Gaba_1,0.0032719574003977673
3566 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0013472765766343747
3567 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0008981843844229166
3568 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0008340283569641367
3569 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0012189645217168153
3570 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0010906524667992558
3571 PAG-RN Nkx2-2 Otx1 Gaba_2,0.0005132482196702381
